,0.5
0.01,0.9998
0.03,0.9996
0.05,0.9994
0.06999999999999999,0.9992
0.09,0.9997
0.11,0.9994
0.13,0.9994
0.15000000000000002,0.9998
0.17,0.9997
0.19,0.9999
0.21000000000000002,0.9999
0.23,0.9993
0.25,0.9999
0.27,0.9995
0.29000000000000004,0.9997
0.31,0.9993
0.33,0.9996
0.35000000000000003,0.9993
0.37,0.9997
0.39,0.9996
0.41000000000000003,0.9995
0.43,0.9997
0.45,0.9996
0.47000000000000003,0.9998
0.49,0.9996
0.51,0.9995
0.53,0.999
0.55,0.999
0.5700000000000001,0.9996
0.59,0.9988
0.61,0.9988
0.63,0.9985
0.65,0.9989
0.67,0.9981
0.6900000000000001,0.9969
0.7100000000000001,0.9977
0.73,0.9956
0.75,0.9952
0.77,0.9937
0.79,0.9933
0.81,0.9896
0.8300000000000001,0.9848
0.85,0.9801
0.87,0.9751
0.89,0.9576
0.91,0.9399
0.93,0.8942
0.9500000000000001,0.8079
0.97,0.6296
0.99,0.2334
